formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
C4H6,"1,3-butadiene",106-99-0,54.092,164.24,268.62,425,43.2,221,0.27,0.195,50.0,1000.0,50.0-1000.0,3.607,0.005085,8.25E-05,-1.24E-07,5.32E-11,79.54,125.2,3.9664,927.21,238.63,0.02,198,2,287.49
CBrClF2,bromochlorodifluoromethane,353-59-3,165.365,113.65,269.2,426.9,42.6,246,0.295,0.182,100.0,1000.0,100.0-1000.0,1.968,0.036592,-5.49E-05,4.04E-08,-1.17E-11,74.65,,3.9585,933.04,240,0.02,198,2,288.26
C4H10,butane,106-97-8,58.123,134.79,272.66,425.12,37.96,255,0.274,0.2,200.0,1000.0,200.0-1000.0,5.547,0.005536,8.06E-05,-1.06E-07,4.13E-11,98.49,142.89,3.93266,935.773,238.789,0.02,200.5,2,292.03
C4F10,decafluoro-2-methylpropane,354-92-7,238.028,,273.15,395.4,24.2,378,0.278,,200.0,1000.0,200.0-1000.0,1.965,0.099798,-0.0001183,6.68E-08,-1.46E-11,78.02,,,,,,,,
C4H8,trans-2-butene,624-64-6,56.108,167.58,274.03,428.6,41,237.7,0.276,0.218,50.0,1000.0,50.0-1000.0,5.584,-0.00489,9.13E-05,-1.10E-07,4.09E-11,87.67,,4.00827,967.5,240.84,0.02,201.83,2,293.29
C3H9N,"N,N-dimethylmethanamine (trimethyl amine)",75-50-3,59.111,155.85,276.02,433.3,40.75,254,0.266,,298.0,1000.0,298.0-1000.0,1.66,0.027899,2.52E-05,-5.10E-08,2.19E-11,91.8,136.2,,,,,,,
C2Cl2F4,"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,170.921,180.55,276.58,418.9,32.37,294,0.273,0.246,50.0,1000.0,50.0-1000.0,2.525,0.053644,-5.77E-05,2.42E-08,-1.99E-12,116.6,,3.93549,930.734,233.41,0.02,204.93,2,295.83
C2Cl2F4,"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,170.921,216.58,276.59,418.7,32.13,294,0.271,0.244,50.0,1000.0,50.0-1000.0,2.268,0.056415,-6.91E-05,3.95E-08,-8.61E-12,115.8,,3.83243,875.938,225.46,0.02,206.04,2,295.73
C2H3F3,"1,1,2-trifluoroethane (R-143)",430-66-0,84.041,189.15,276.85,429.8,52.41,179.2,0.263,0.315,50.0,1000.0,50.0-1000.0,3.531,0.01645,2.07E-05,-4.22E-08,1.87E-11,77.34,,4.13152,928.177,221.27,0.02,211.07,2,294.19
C4H8,cis-2-butene,590-18-1,56.108,134.25,276.87,435.5,42.1,233.8,0.269,0.203,50.0,1000.0,50.0-1000.0,3.689,0.019184,2.23E-05,-3.43E-08,1.26E-11,80.15,127,4.00958,967.32,237.873,0.02,204.73,2,296.11
